Retailer,Retailer ID,Date,Region,State,Beverage Brand,Price per Unit,Units Sold,Revenue,Expenses,Profit ,Profit Margin,
Sodapop,1185732,14/1/2022,Northeast,New York,Coca-Cola,$0.50 ,"12,000","$6,000 ","$1,260 ","$4,740 ",0.79,
Sodapop,1185732,14/1/2022,Northeast,New York,Diet Coke,$0.50 ,"10,000","$5,000 ","$1,700 ",,0,
Sodapop,1185732,14/1/2022,Northeast,New York,Sprite,$0.40 ,"10,000","$5,000 ",$480 ,"$4,520 ",0.904,
Sodapop,1185732,14/1/2022,Northeast,New York,Fanta,$0.45 ,"8,500","$3,825 ",$497 ,"$3,328 ",0.87,
Sodapop,1185732,14/1/2022,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400 ",$918 ,"$4,482 ",0.83,
Sodapop,1185732,14/1/2022,Northeast,New York,Dasani Water,$0.50 ,"10,000","$5,000 ","$1,050 ","$3,950 ",0.79,
Sodapop,1185732,12/2/2022,Northeast,New York,Coca-Cola,$0.50 ,"12,500","$6,250 ",$875 ,"$5,375 ",0.86,
Sodapop,1185732,12/2/2022,Northeast,New York,Diet Coke,$0.50 ,"9,000","$4,500 ",$225 ,"$4,275 ",0.95,
Sodapop,1185732,12/2/2022,Northeast,New York,Sprite,$0.40 ,"9,500","$3,800 ",$304 ,"$3,496 ",0.92,
Sodapop,1185732,12/2/2022,Northeast,New York,Fanta,$0.45 ,"8,250","$3,713 ",$408 ,"$3,304 ",0.89,
Sodapop,1185732,12/2/2022,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400 ",$810 ,"$4,590 ",0.85,
Sodapop,1185732,12/2/2022,Northeast,New York,Dasani Water,$0.50 ,"10,000","$5,000 ","$1,700 ","$3,300 ",0.66,
Sodapop,1185732,10/3/2022,Northeast,New York,Coca-Cola,$0.50 ,"12,200","$6,100 ","$2,074 ","$4,026 ",0.66,
Sodapop,1185732,10/3/2022,Northeast,New York,Diet Coke,$0.50 ,"9,250","$4,625 ","$1,573 ","$3,053 ",0.66,
Sodapop,1185732,10/3/2022,Northeast,New York,Sprite,$0.40 ,"9,500","$3,800 ","$1,862 ","$1,938 ",0.51,
Sodapop,1185732,10/3/2022,Northeast,New York,Fanta,$0.45 ,"8,000","$3,600 ",$504 ,"$3,096 ",0.86,
Sodapop,1185732,10/3/2022,Northeast,New York,Powerade,$0.60 ,"8,500","$5,100 ",$714 ,"$4,386 ",0.86,
Sodapop,1185732,10/3/2022,Northeast,New York,Dasani Water,$0.50 ,"9,500","$4,750 ",$713 ,"$4,038 ",0.85,
