Transaction_ID,Date,Customer_ID,Product_Category,Product,Price,Quantity,Shipping_Cost,Discount,Profit
1,2023-06-01,5860,Fashion,Lipstick,337.14,4,46.68,0.35,282.11
2,2023-06-02,8772,Electronics,Treadmill,1610.18,4,20.89,0.32,147.34
3,2023-06-03,8092,Sports,Shoes,1586.0,4,25.64,0.25,-27.72
4,2023-06-04,5466,Sports,Watch,263.09,3,49.17,0.14,-26.35
5,2023-06-05,9426,Fashion,Washing Machine,803.13,4,13.97,0.28,149.73
6,2023-06-06,8444,Electronics,Watch,348.6,4,7.94,0.34,113.64
7,2023-06-07,8171,Home Decor,Smartphone,516.89,1,43.67,0.24,118.91
8,2023-06-08,7919,Fashion,Smartphone,533.86,3,44.08,0.31,102.13
9,2023-06-09,5130,Electronics,Lipstick,1116.91,1,26.24,0.3,272.85
10,2023-06-10,6685,Sports,Treadmill,828.71,3,28.14,0.23,88.53
11,2023-06-11,5769,Electronics,Treadmill,1895.99,2,42.61,0.12,252.55
12,2023-06-12,7391,Electronics,Lipstick,261.48,3,38.24,0.3,267.95
13,2023-06-13,7433,Electronics,Watch,1947.65,3,16.93,0.08,134.84
14,2023-06-14,6184,Home Decor,Smartphone,468.97,1,5.76,0.31,117.49
15,2023-06-15,9555,Electronics,Watch,1548.02,3,26.59,0.32,221.14
16,2023-06-16,8385,Home Decor,Watch,684.55,3,43.65,0.33,203.63
17,2023-06-17,9117,Sports,Shoes,294.73,1,45.31,0.19,78.42
18,2023-06-18,9843,Home Decor,Smartphone,1717.2,2,48.03,0.08,3.84
19,2023-06-19,7904,Sports,Treadmill,624.63,2,44.58,0.04,57.4
20,2023-06-20,5474,Sports,Washing Machine,1321.12,2,31.1,0.3,13.24
21,2023-06-21,6082,Home Decor,Watch,1137.22,3,25.01,0.35,67.26
22,2023-06-22,7558,Fashion,Smartphone,948.8,1,39.87,0.26,56.4
23,2023-06-23,7047,Beauty,Watch,996.68,2,38.29,0.06,180.44
24,2023-06-24,7747,Electronics,Shoes,1467.15,2,29.22,0.37,284.98
25,2023-06-25,5975,Beauty,Sofa,184.67,2,8.93,0.4,196.3
26,2023-06-26,6806,Electronics,Smartphone,1339.68,2,46.67,0.17,275.79
27,2023-06-27,5189,Electronics,Lipstick,1792.67,1,25.5,0.24,228.76
28,2023-06-28,7734,Sports,Sofa,125.0,2,21.35,0.31,210.2
29,2023-06-29,8005,Electronics,Watch,289.9,3,33.33,0.29,106.64
30,2023-06-30,9658,Electronics,Lipstick,1436.1,3,35.32,0.39,77.18
31,2023-07-01,6899,Home Decor,Lipstick,880.19,1,14.48,0.05,249.27
32,2023-07-02,6267,Beauty,Lipstick,813.06,4,42.66,0.23,268.78
33,2023-07-03,6528,Home Decor,Smartphone,,2,18.05,0.28,119.12
34,2023-07-04,8202,Electronics,Treadmill,,2,13.4,0.36,-27.01
35,2023-07-05,8556,Sports,Watch,,3,23.29,0.35,231.54
36,2023-07-06,8890,Home Decor,Sofa,958.47,1,37.88,0.39,64.07
37,2023-07-07,5646,Home Decor,Shoes,1529.59,4,48.45,0.2,-26.74
38,2023-07-08,7888,Fashion,Treadmill,523.95,3,41.42,0.33,235.65
39,2023-07-09,7435,Electronics,Watch,966.76,4,47.32,0.17,140.75
40,2023-07-10,5600,Sports,Smartphone,1984.11,1,11.33,0.17,196.12
41,2023-07-11,7363,Home Decor,Lipstick,1376.43,1,8.2,0.1,271.85
42,2023-07-12,7061,Home Decor,Shoes,,1,30.1,0.33,148.59
43,2023-07-13,5241,Sports,Watch,835.55,3,18.06,0.39,136.05
44,2023-07-14,7041,Electronics,Sofa,1538.04,1,42.26,0.1,65.92
45,2023-07-15,7824,Fashion,Watch,,3,35.24,0.02,70.71
46,2023-07-16,7612,Home Decor,Treadmill,254.59,3,48.68,0.33,232.86
47,2023-07-17,6363,Fashion,Washing Machine,414.11,2,16.47,0.25,118.18
48,2023-07-18,6478,Beauty,Treadmill,809.88,3,26.86,0.38,23.96
49,2023-07-19,7556,Electronics,Watch,1693.03,3,27.56,0.1,1.19
50,2023-07-20,5775,Beauty,Shoes,699.07,2,15.76,0.03,126.06
51,2023-07-21,9014,Beauty,Watch,1312.7,4,31.55,0.2,123.44
52,2023-07-22,5034,Beauty,Watch,1421.54,2,24.95,0.03,185.64
53,2023-07-23,8152,Electronics,Smartphone,1176.5,2,25.1,0.1,125.45
54,2023-07-24,6955,Electronics,Sofa,720.91,1,21.32,0.05,17.35
55,2023-07-25,6585,Sports,Shoes,1158.34,1,5.76,0.09,137.57
56,2023-07-26,8943,Fashion,Watch,691.11,2,28.49,0.04,269.24
57,2023-07-27,8073,Fashion,Lipstick,176.91,1,20.09,0.38,22.62
58,2023-07-28,6021,Sports,Sofa,1985.68,2,5.06,0.11,197.62
59,2023-07-29,8461,Sports,Treadmill,263.09,1,18.86,0.18,165.97
60,2023-07-30,7613,Beauty,Shoes,153.97,3,17.54,0.36,217.03
61,2023-07-31,8843,Sports,Treadmill,1758.28,1,22.71,0.27,19.7
62,2023-08-01,6500,Home Decor,Watch,610.65,1,10.93,0.25,280.73
63,2023-08-02,9798,Fashion,Treadmill,1304.09,3,27.85,0.28,174.92
64,2023-08-03,5161,Sports,Treadmill,664.72,2,36.16,0.33,249.53
65,2023-08-04,9297,Home Decor,Smartphone,788.99,1,33.36,0.35,51.38
66,2023-08-05,6981,Home Decor,Treadmill,531.6,1,41.17,0.26,214.01
67,2023-08-06,5995,Home Decor,Lipstick,,3,25.34,0.36,227.74
68,2023-08-07,9911,Home Decor,Lipstick,827.29,3,28.36,0.21,101.15
69,2023-08-08,8342,Beauty,Sofa,1443.63,3,41.47,0.11,96.7
70,2023-08-09,9551,Home Decor,Watch,1027.96,4,24.25,0.35,187.07
71,2023-08-10,8798,Beauty,Washing Machine,1887.69,3,36.57,0.22,0.82
72,2023-08-11,6275,Beauty,Treadmill,93.34,2,24.56,0.36,212.76
73,2023-08-12,6016,Home Decor,Treadmill,1011.11,1,23.8,0.02,-15.85
74,2023-08-13,5337,Fashion,Shoes,1172.61,1,39.21,0.16,32.89
75,2023-08-14,5878,Home Decor,Smartphone,1841.19,4,12.87,0.38,189.17
76,2023-08-15,6076,Home Decor,Washing Machine,107.83,1,20.24,0.1,
77,2023-08-16,9887,Home Decor,Sofa,1151.26,1,15.09,0.38,290.71
78,2023-08-17,8993,Fashion,Washing Machine,1708.72,2,21.16,0.38,256.57
79,2023-08-18,9859,Electronics,Treadmill,491.44,1,15.37,0.35,176.68
80,2023-08-19,5379,Electronics,Shoes,1753.82,2,31.07,0.23,240.29
81,2023-08-20,5492,Beauty,Watch,47.9,4,40.92,0.26,262.9
82,2023-08-21,7062,Beauty,Smartphone,1467.58,2,40.4,0.35,55.63
83,2023-08-22,8884,Fashion,Watch,1866.9,3,21.4,0.31,250.31
84,2023-08-23,5064,Sports,Sofa,1317.82,3,49.49,0.25,34.28
85,2023-08-24,7568,Electronics,Washing Machine,883.67,4,31.72,0.39,106.4
86,2023-08-25,7027,Beauty,Sofa,99.31,1,22.97,0.27,154.23
87,2023-08-26,7695,Electronics,Treadmill,1841.03,2,42.6,0.39,205.58
88,2023-08-27,6495,Fashion,Sofa,945.89,3,37.84,0.02,-20.05
89,2023-08-28,5391,Fashion,Watch,67.7,2,38.72,0.06,65.87
90,2023-08-29,9514,Sports,Shoes,1382.74,3,13.83,0.18,170.81
91,2023-08-30,9474,Sports,Sofa,968.86,2,26.07,0.15,
92,2023-08-31,8561,Fashion,Lipstick,257.45,1,43.78,0.31,225.76
93,2023-09-01,7278,Beauty,Shoes,436.4,4,27.68,0.06,185.05
94,2023-09-02,8099,Electronics,Washing Machine,138.34,1,35.76,0.39,47.35
95,2023-09-03,5200,Home Decor,Smartphone,1152.84,2,31.46,0.13,18.16
96,2023-09-04,9875,Sports,Smartphone,1247.84,3,42.91,0.17,177.59
97,2023-09-05,8104,Home Decor,Treadmill,1016.43,3,17.81,0.11,118.65
98,2023-09-06,9598,Beauty,Treadmill,1636.03,4,30.9,0.23,25.76
99,2023-09-07,7454,Sports,Lipstick,1723.41,1,10.55,0.02,77.7
100,2023-09-08,8645,Home Decor,Washing Machine,1235.09,1,36.06,0.06,70.01
101,2023-09-09,5804,Beauty,Watch,35.39,1,37.94,0.3,
102,2023-09-10,7731,Electronics,Smartphone,1393.51,3,6.93,0.07,150.48
103,2023-09-11,7773,Beauty,Smartphone,841.82,4,35.41,0.09,222.0
104,2023-09-12,6570,Sports,Smartphone,1135.46,3,23.66,0.32,159.9
105,2023-09-13,7690,Fashion,Watch,1301.67,1,10.58,0.04,242.68
106,2023-09-14,8840,Electronics,Smartphone,706.97,2,23.9,0.17,12.1
107,2023-09-15,6028,Home Decor,Sofa,1835.03,3,13.74,0.01,113.75
108,2023-09-16,5502,Sports,Washing Machine,276.61,4,23.7,0.14,171.11
109,2023-09-17,9493,Fashion,Shoes,1346.31,1,22.3,0.28,193.08
110,2023-09-18,5870,Beauty,Shoes,18.68,2,38.23,0.04,199.61
111,2023-09-19,9488,Fashion,Lipstick,1850.06,3,39.84,0.36,210.56
112,2023-09-20,5206,Sports,Sofa,233.88,2,32.32,0.36,184.97
113,2023-09-21,6484,Sports,Smartphone,198.82,2,6.02,0.04,1.1
114,2023-09-22,5863,Fashion,Smartphone,672.69,4,46.9,0.4,199.45
115,2023-09-23,7790,Beauty,Treadmill,753.4,3,35.88,0.12,209.18
116,2023-09-24,5563,Fashion,Treadmill,436.46,4,6.54,0.03,297.85
117,2023-09-25,9191,Sports,Lipstick,,1,41.85,0.0,198.81
118,2023-09-26,6757,Sports,Smartphone,891.4,2,14.01,0.16,196.65
119,2023-09-27,6678,Home Decor,Lipstick,78.01,4,31.06,0.25,139.89
120,2023-09-28,8242,Home Decor,Sofa,646.11,4,26.0,0.13,256.41
121,2023-09-29,9636,Electronics,Shoes,1622.76,1,23.89,0.33,298.96
122,2023-09-30,6059,Sports,Smartphone,1382.51,3,45.04,0.29,227.08
123,2023-10-01,6722,Home Decor,Washing Machine,1452.49,4,24.68,0.14,172.13
124,2023-10-02,8314,Fashion,Watch,1399.25,2,8.39,0.29,-3.94
125,2023-10-03,8157,Beauty,Sofa,628.84,2,47.6,0.38,209.82
126,2023-10-04,7625,Fashion,Smartphone,208.33,2,46.42,0.04,203.83
127,2023-10-05,7729,Beauty,Watch,552.21,2,35.8,0.12,225.94
128,2023-10-06,6597,Home Decor,Washing Machine,1665.25,4,26.06,0.19,11.1
129,2023-10-07,8060,Electronics,Treadmill,1961.14,2,9.18,0.2,185.73
130,2023-10-08,7693,Fashion,Lipstick,992.76,4,40.58,0.22,
131,2023-10-09,9891,Fashion,Treadmill,29.3,3,8.4,0.12,220.89
132,2023-10-10,8627,Fashion,Shoes,288.69,2,8.09,0.27,49.32
133,2023-10-11,6363,Beauty,Treadmill,650.94,3,29.18,0.26,195.71
134,2023-10-12,6981,Home Decor,Smartphone,1161.38,4,12.21,0.23,67.35
135,2023-10-13,6663,Fashion,Washing Machine,159.44,1,5.35,0.05,-27.03
136,2023-10-14,6529,Fashion,Treadmill,1887.28,3,24.04,0.19,179.01
137,2023-10-15,7038,Electronics,Smartphone,736.52,2,11.17,0.14,7.38
138,2023-10-16,8302,Electronics,Shoes,1826.04,1,12.22,0.2,187.57
139,2023-10-17,7237,Home Decor,Watch,1563.24,3,8.46,0.37,275.45
140,2023-10-18,6306,Home Decor,Washing Machine,1513.32,4,14.23,0.19,289.85
141,2023-10-19,9029,Sports,Treadmill,1217.37,4,37.2,0.01,47.85
142,2023-10-20,7675,Electronics,Lipstick,1257.3,4,41.4,0.18,237.05
143,2023-10-21,6282,Sports,Lipstick,1279.63,3,25.36,0.33,86.67
144,2023-10-22,5709,Beauty,Washing Machine,1261.16,4,27.79,0.31,267.15
145,2023-10-23,9744,Sports,Lipstick,1111.92,3,6.47,0.21,229.87
146,2023-10-24,9413,Fashion,Treadmill,1972.96,2,8.12,0.1,-5.61
147,2023-10-25,8748,Sports,Treadmill,1467.26,2,16.59,0.19,104.36
148,2023-10-26,9779,Home Decor,Washing Machine,1556.12,3,29.48,0.23,81.31
149,2023-10-27,5663,Beauty,Treadmill,1746.2,3,38.28,0.4,229.11
150,2023-10-28,6998,Fashion,Watch,439.12,1,32.23,0.26,105.39
151,2023-10-29,8445,Sports,Smartphone,176.77,4,22.65,0.28,195.91
152,2023-10-30,8743,Beauty,Shoes,970.96,2,10.32,0.2,168.8
153,2023-10-31,6495,Beauty,Watch,1033.02,2,40.13,0.14,291.96
154,2023-11-01,8304,Fashion,Watch,1660.07,1,21.37,0.33,279.47
155,2023-11-02,8763,Sports,Lipstick,893.13,3,38.12,0.2,111.14
156,2023-11-03,6853,Beauty,Smartphone,1146.0,3,28.08,0.4,208.78
157,2023-11-04,9659,Beauty,Washing Machine,1058.87,1,38.24,0.18,243.72
158,2023-11-05,6291,Electronics,Lipstick,86.02,4,45.83,0.03,266.63
159,2023-11-06,8581,Beauty,Smartphone,1234.28,3,46.45,0.27,-7.52
160,2023-11-07,8457,Electronics,Treadmill,1657.81,3,29.08,0.02,69.69
161,2023-11-08,6636,Sports,Washing Machine,323.43,4,28.02,0.1,75.68
162,2023-11-09,8696,Sports,Washing Machine,1192.72,4,16.96,0.14,113.37
163,2023-11-10,7999,Sports,Lipstick,1191.28,1,47.11,0.3,
164,2023-11-11,8152,Home Decor,Treadmill,336.73,1,25.61,0.2,133.75
165,2023-11-12,5698,Sports,Lipstick,255.69,1,10.74,0.01,188.86
166,2023-11-13,7160,Beauty,Sofa,1960.3,3,24.47,0.25,134.13
167,2023-11-14,9097,Fashion,Smartphone,793.5,1,10.72,0.16,189.71
168,2023-11-15,9737,Electronics,Sofa,462.57,3,27.61,0.37,-8.07
169,2023-11-16,5854,Home Decor,Smartphone,350.94,2,30.26,0.2,259.08
170,2023-11-17,8474,Sports,Shoes,1338.53,4,20.2,0.28,279.89
171,2023-11-18,6707,Sports,Watch,1222.8,4,8.22,0.09,173.91
172,2023-11-19,7777,Fashion,Washing Machine,1290.67,2,47.46,0.3,260.86
173,2023-11-20,6733,Fashion,Lipstick,185.13,1,39.8,0.29,13.38
174,2023-11-21,9931,Home Decor,Shoes,1788.13,3,42.75,0.36,233.16
175,2023-11-22,8510,Electronics,Shoes,784.64,3,21.51,0.01,9.32
176,2023-11-23,5202,Sports,Washing Machine,633.61,3,39.24,0.18,104.64
177,2023-11-24,8255,Home Decor,Washing Machine,930.1,4,26.84,0.27,76.86
178,2023-11-25,9218,Beauty,Smartphone,786.23,1,14.05,0.04,163.25
179,2023-11-26,9496,Beauty,Sofa,1728.52,3,10.6,0.16,
180,2023-11-27,5766,Home Decor,Treadmill,1859.23,3,20.53,0.38,180.31
181,2023-11-28,9389,Sports,Smartphone,613.87,3,11.19,0.17,91.24
182,2023-11-29,7327,Home Decor,Treadmill,1729.23,2,49.92,0.39,254.06
183,2023-11-30,7931,Sports,Shoes,1565.23,3,7.21,0.02,179.18
184,2023-12-01,5197,Fashion,Treadmill,1862.31,2,24.85,0.29,41.05
185,2023-12-02,6930,Home Decor,Sofa,499.04,3,25.34,0.23,80.92
186,2023-12-03,8582,Sports,Smartphone,1158.15,3,18.53,0.2,249.65
187,2023-12-04,5608,Home Decor,Washing Machine,556.34,3,30.71,0.39,97.54
188,2023-12-05,8272,Home Decor,Sofa,1649.95,2,11.75,0.05,146.81
189,2023-12-06,6147,Sports,Watch,20.6,3,40.28,0.36,184.15
190,2023-12-07,9282,Sports,Sofa,1133.99,1,19.96,0.28,84.78
191,2023-12-08,8397,Electronics,Watch,685.01,3,31.61,0.1,67.01
192,2023-12-09,7511,Home Decor,Smartphone,,2,37.2,0.36,126.83
193,2023-12-10,6794,Beauty,Washing Machine,1293.36,2,45.01,0.17,40.91
194,2023-12-11,5659,Home Decor,Sofa,1704.45,1,42.61,0.33,63.79
195,2023-12-12,7811,Home Decor,Watch,1222.3,4,32.37,0.16,-9.51
196,2023-12-13,6369,Sports,Washing Machine,1707.81,1,22.48,0.34,70.31
197,2023-12-14,6986,Home Decor,Lipstick,536.55,1,27.64,0.25,75.83
198,2023-12-15,5146,Home Decor,Lipstick,1043.81,2,39.59,0.06,287.4
199,2023-12-16,8219,Beauty,Lipstick,906.57,3,44.49,0.26,164.61
200,2023-12-17,7911,Sports,Treadmill,33.17,3,9.67,0.08,229.84
201,2023-12-18,6734,Home Decor,Sofa,1118.06,4,22.32,0.16,-15.03
202,2023-12-19,6843,Fashion,Smartphone,1326.43,4,39.93,0.07,5.16
203,2023-12-20,5488,Electronics,Smartphone,1187.91,4,24.42,0.01,238.8
204,2023-12-21,7976,Beauty,Treadmill,1475.2,4,19.95,0.08,175.77
205,2023-12-22,6959,Home Decor,Smartphone,1146.97,1,23.51,0.21,33.02
206,2023-12-23,7385,Fashion,Watch,142.83,1,32.13,0.19,103.58
207,2023-12-24,7919,Home Decor,Lipstick,241.73,3,49.99,0.2,147.76
208,2023-12-25,9736,Home Decor,Sofa,1196.98,1,27.18,0.1,248.39
